DATE,TIME,Road_type,ENVIRONMENT,LIGHT,SURFACE_CONDITION,TRAFFIC_CONTROL,COLLISION_CLASSIFICATION,IMPACT_TYPE,Location,NO_OF_PEDESTRIANS
Weekday,Night,Road,01 - Clear,07 - Dark,01 - Dry,10 - No control,Injury,02 - Angle,Ottawa_west,0
Weekends,Evening,Road,05 - Drifting Snow,01 - Daylight,06 - Ice,10 - No control,P.D. only,01 - Approaching,Ottawa_south,0
Weekday,Night,Road,03 - Snow,01 - Daylight,06 - Ice,02 - Stop sign,P.D. only,02 - Angle,downtown,0
Weekends,Night,Road,01 - Clear,01 - Daylight,02 - Wet,02 - Stop sign,P.D. only,02 - Angle,downtown,0
Weekday,Mid_Night,Road,02 - Rain,07 - Dark,02 - Wet,10 - No control,P.D. only,06 - SMV unattended vehicle,downtown,0
Weekday,Night,Road,01 - Clear,07 - Dark,01 - Dry,01 - Traffic signal,P.D. only,03 - Rear end,Ottawa_east,0
Weekends,Night,Road,01 - Clear,01 - Daylight,06 - Ice,10 - No control,P.D. only,02 - Angle,Ottawa_east,0
Weekends,Night,Road,01 - Clear,07 - Dark,02 - Wet,02 - Stop sign,P.D. only,02 - Angle,Ottawa_east,0
Weekday,Night,Road,01 - Clear,07 - Dark,01 - Dry,10 - No control,P.D. only,07 - SMV other,Ottawa_west,0
Weekends,Evening,Road,01 - Clear,01 - Daylight,01 - Dry,01 - Traffic signal,P.D. only,03 - Rear end,Ottawa_east,0
Weekends,Evening,Road,01 - Clear,01 - Daylight,04 - Slush,10 - No control,P.D. only,02 - Angle,Ottawa_east,0
Weekday,Mid_Night,Road,01 - Clear,07 - Dark,02 - Wet,10 - No control,P.D. only,04 - Sideswipe,Ottawa_east,0
Weekday,Night,Road,01 - Clear,05 - Dusk,01 - Dry,01 - Traffic signal,Injury,02 - Angle,downtown,0
Weekends,Evening,Road,01 - Clear,01 - Daylight,02 - Wet,01 - Traffic signal,Injury,07 - SMV other,Ottawa_east,1
Weekends,Night,Road,01 - Clear,07 - Dark,02 - Wet,01 - Traffic signal,P.D. only,05 - Turning movement,downtown,0
Weekday,Night,Road,01 - Clear,05 - Dusk,01 - Dry,10 - No control,P.D. only,04 - Sideswipe,mid_town,0
Weekends,Evening,Road,03 - Snow,01 - Daylight,03 - Loose snow,10 - No control,P.D. only,07 - SMV other,downtown,0
Weekends,Night,Road,01 - Clear,05 - Dusk,02 - Wet,10 - No control,P.D. only,04 - Sideswipe,Ottawa_east,0
Weekends,Night,Road,03 - Snow,01 - Daylight,05 - Packed snow,01 - Traffic signal,Injury,03 - Rear end,Ottawa_south,0
Weekday,Early_Morning,Road,01 - Clear,07 - Dark,04 - Slush,10 - No control,P.D. only,06 - SMV unattended vehicle,downtown,0
Weekday,Night,Road,01 - Clear,01 - Daylight,01 - Dry,10 - No control,P.D. only,03 - Rear end,mid_town,0
Weekday,Afternoon,Road,01 - Clear,01 - Daylight,02 - Wet,10 - No control,P.D. only,02 - Angle,downtown,0
Weekday,Mid_Night,Road,01 - Clear,07 - Dark,01 - Dry,10 - No control,P.D. only,06 - SMV unattended vehicle,downtown,0
Weekends,Evening,Road,03 - Snow,01 - Daylight,03 - Loose snow,01 - Traffic signal,P.D. only,02 - Angle,downtown,0
Weekends,Mid_Night,Road,01 - Clear,07 - Dark,01 - Dry,01 - Traffic signal,P.D. only,05 - Turning movement,mid_town,0
Weekday,Early_Morning,Road,03 - Snow,07 - Dark,02 - Wet,01 - Traffic signal,Injury,05 - Turning movement,mid_town,0
Weekends,Evening,Road,03 - Snow,01 - Daylight,06 - Ice,01 - Traffic signal,P.D. only,03 - Rear end,Ottawa_south,0
Weekday,Evening,Road,01 - Clear,01 - Daylight,01 - Dry,10 - No control,P.D. only,01 - Approaching,mid_town,0
Weekday,Evening,Road,01 - Clear,01 - Daylight,06 - Ice,10 - No control,P.D. only,06 - SMV unattended vehicle,downtown,0
Weekends,Evening,Road,04 - Freezing Rain,01 - Daylight,05 - Packed snow,10 - No control,P.D. only,07 - SMV other,downtown,0
Weekends,Evening,Road,03 - Snow,01 - Daylight,03 - Loose snow,10 - No control,P.D. only,02 - Angle,downtown,0
Weekends,Evening,Road,03 - Snow,01 - Daylight,04 - Slush,01 - Traffic signal,P.D. only,03 - Rear end,downtown,0
Weekends,Evening,Road,03 - Snow,01 - Daylight,04 - Slush,01 - Traffic signal,P.D. only,99 - Other,mid_town,0
Weekends,Evening,Road,03 - Snow,01 - Daylight,03 - Loose snow,10 - No control,Injury,01 - Approaching,Ottawa_south,0
Weekends,Evening,Road,03 - Snow,01 - Daylight,05 - Packed snow,10 - No control,P.D. only,06 - SMV unattended vehicle,downtown,0
Weekends,Evening,Road,03 - Snow,01 - Daylight,03 - Loose snow,10 - No control,Injury,01 - Approaching,Ottawa_south,0
Weekends,Evening,Road,03 - Snow,01 - Daylight,05 - Packed snow,10 - No control,P.D. only,06 - SMV unattended vehicle,downtown,0
Weekends,Evening,Road,03 - Snow,01 - Daylight,03 - Loose snow,10 - No control,P.D. only,07 - SMV other,Ottawa_east,0
Weekends,Evening,Road,03 - Snow,01 - Daylight,03 - Loose snow,01 - Traffic signal,P.D. only,03 - Rear end,downtown,0
Weekends,Evening,Road,03 - Snow,01 - Daylight,03 - Loose snow,10 - No control,Injury,01 - Approaching,mid_town,0
Weekends,Early_Morning,Road,03 - Snow,07 - Dark,03 - Loose snow,02 - Stop sign,P.D. only,01 - Approaching,downtown,0
Weekends,Night,Road,03 - Snow,01 - Daylight,03 - Loose snow,01 - Traffic signal,P.D. only,03 - Rear end,downtown,0
Weekends,Evening,Road,03 - Snow,01 - Daylight,05 - Packed snow,10 - No control,P.D. only,07 - SMV other,downtown,0
Weekends,Evening,Road,03 - Snow,01 - Daylight,06 - Ice,01 - Traffic signal,P.D. only,02 - Angle,Ottawa_east,0
Weekends,Night,Road,03 - Snow,01 - Daylight,03 - Loose snow,10 - No control,P.D. only,04 - Sideswipe,mid_town,0
Weekends,Night,Road,01 - Clear,01 - Daylight,03 - Loose snow,10 - No control,P.D. only,02 - Angle,Ottawa_east,0
Weekends,Night,Road,03 - Snow,05 - Dusk,03 - Loose snow,02 - Stop sign,P.D. only,02 - Angle,downtown,0
Weekends,Evening,Road,03 - Snow,01 - Daylight,03 - Loose snow,10 - No control,P.D. only,06 - SMV unattended vehicle,mid_town,0
Weekends,Night,Road,03 - Snow,05 - Dusk,03 - Loose snow,01 - Traffic signal,P.D. only,05 - Turning movement,mid_town,0
Weekday,Night,Road,03 - Snow,05 - Dusk,06 - Ice,10 - No control,Injury,03 - Rear end,Ottawa_east,0
Weekday,Night,Road,01 - Clear,01 - Daylight,02 - Wet,02 - Stop sign,P.D. only,06 - SMV unattended vehicle,Ottawa_west,0
