Instance_number,COLLISION_CLASSIFICATION,X,Y,Cluster
0,Injury,357144.875,5020503.5,cluster2
1,'P.D. only',356860.1875,5013034.5,cluster0
2,'P.D. only',368589.7188,5029516.5,cluster1
3,'P.D. only',370292.9063,5035187,cluster1
4,'P.D. only',372133.1875,5032130.5,cluster1
5,'P.D. only',377186.0938,5032175.5,cluster4
6,'P.D. only',382995.5313,5037805,cluster4
7,'P.D. only',381687.625,5036330,cluster4
8,'P.D. only',345245.5313,5022339.5,cluster2
9,'P.D. only',383539.875,5035988,cluster4
10,'P.D. only',381623.625,5035089,cluster4
11,'P.D. only',382536.125,5035815.5,cluster4
12,Injury,371931.2188,5029226,cluster1
13,Injury,384964.6563,5038717,cluster4
14,'P.D. only',367422.9063,5031352.5,cluster1
15,'P.D. only',361442.875,5027074,cluster3
16,'P.D. only',368474.9063,5033119,cluster1
17,'P.D. only',382655.1563,5035538,cluster4
18,Injury,367368.2813,5016573,cluster0
19,'P.D. only',372207.9375,5030394,cluster1
20,'P.D. only',366848.7813,5025222,cluster3
21,'P.D. only',369374.75,5027821,cluster1
22,'P.D. only',368520.125,5032325,cluster1
23,'P.D. only',367193.8125,5031001,cluster1
24,'P.D. only',365192.8125,5022946.5,cluster3
25,Injury,366580.0938,5025045.5,cluster3
26,'P.D. only',364166.8438,5017379.5,cluster0
27,'P.D. only',357779.3438,5023487.5,cluster3
28,'P.D. only',369279.8125,5033504.5,cluster1
29,'P.D. only',366412.4375,5031485,cluster1
30,'P.D. only',371966.375,5026911.5,cluster1
31,'P.D. only',371036.4375,5026363,cluster1
32,'P.D. only',359238.6875,5023510.5,cluster3
33,Injury,366028.9375,5008784,cluster0
34,'P.D. only',368223.5,5030825.5,cluster1
35,Injury,366630.5625,5012215.5,cluster0
36,'P.D. only',368335.2188,5030893,cluster1
37,'P.D. only',397309.0313,5028497.5,cluster4
38,'P.D. only',367693.8125,5030917,cluster1
39,Injury,356700.875,5023822,cluster3
40,'P.D. only',374637.9375,5025909.5,cluster1
41,'P.D. only',371899.8125,5026868.5,cluster1
42,'P.D. only',368917.75,5029915.5,cluster1
43,'P.D. only',381815.8438,5032739.5,cluster4
44,'P.D. only',370190.7188,5025860,cluster3
45,'P.D. only',383111.1875,5037470.5,cluster4
46,'P.D. only',369082.4063,5027765.5,cluster1
47,'P.D. only',368066.0625,5020146.5,cluster3
48,'P.D. only',361337.0938,5020828.5,cluster3
49,Injury,378018.9063,5032793.5,cluster4
50,'P.D. only',349984.375,5023536,cluster2
51,Injury,366377.875,5008976,cluster0
52,'P.D. only',349257.9063,5024063,cluster2
53,'P.D. only',367400.1875,5029451,cluster1
54,'P.D. only',370711.2188,5033417,cluster1
55,'P.D. only',366574.3125,5029497.5,cluster1
56,'P.D. only',353265.625,5016392.5,cluster2
57,'P.D. only',372446.5,5022154,cluster3
58,'P.D. only',372091.9063,5032473,cluster1
59,'P.D. only',370311.7188,5032262,cluster1
60,'P.D. only',362657.2188,5015441,cluster0
61,Injury,371947.625,5024139,cluster3
62,Injury,369081.6875,5027765,cluster1
63,'P.D. only',378060.9688,5006581,cluster0
64,'P.D. only',363943.5625,5014755.5,cluster0
65,'P.D. only',371920.8125,5032887,cluster1
66,'P.D. only',367850.7188,5031709.5,cluster1
67,'P.D. only',385164.4688,5033280.5,cluster4
68,'P.D. only',367695.4063,5029593.5,cluster1
69,'P.D. only',389987.9063,5032566,cluster4
70,'P.D. only',368411.4688,5030925.5,cluster1
71,'P.D. only',349365.125,5022979.5,cluster2
72,'P.D. only',366666.2813,5029796,cluster1
73,'P.D. only',362700.875,5023492,cluster3
74,'P.D. only',364302.5313,5015647.5,cluster0
75,Injury,375700.4063,5020818,cluster3
76,'P.D. only',367909.5,5030197,cluster1
77,'P.D. only',381962.0313,5038138,cluster4
78,'P.D. only',364351.6875,5027338,cluster3
79,'P.D. only',369362.2813,5027993,cluster1
80,'P.D. only',368661.3125,5032470.5,cluster1
81,'P.D. only',363175.7813,5016507,cluster0
82,'P.D. only',367105,5022082,cluster3
83,'P.D. only',368851.75,5032623.5,cluster1
84,'P.D. only',351049.8125,5017888.5,cluster2
85,Injury,373069.0625,5027159,cluster1
86,'P.D. only',366746.3125,5029913.5,cluster1
87,'P.D. only',372765.4063,5030545,cluster1
88,'P.D. only',364686.8438,5027575,cluster3
89,'P.D. only',363622.9063,5028912.5,cluster3
90,Injury,374674.75,5028498.5,cluster1
91,'P.D. only',376953.8438,5017845,cluster0
92,'P.D. only',375576.9375,5031440,cluster1
93,Injury,370248.0625,5026202.5,cluster1
94,'P.D. only',362700,5023489.5,cluster3
95,'P.D. only',373299.9375,5028655.5,cluster1
96,'P.D. only',370104.5,5032683,cluster1
97,'P.D. only',360604.625,5022588.5,cluster3
98,Injury,359347.875,5024213.5,cluster3
99,'P.D. only',360644.2813,5025070.5,cluster3
100,'P.D. only',369712.0313,5031903,cluster1
101,Injury,367314.8438,5025666,cluster3
102,Injury,360826.1875,5022037,cluster3
103,'P.D. only',366933.6875,5031426,cluster1
104,Injury,366404.125,5025458.5,cluster3
105,'P.D. only',380967.9375,5037205,cluster4
106,Injury,363747.125,5021309.5,cluster3
107,'P.D. only',364499.0938,5029452,cluster1
108,'P.D. only',370131.4688,5032684.5,cluster1
109,'P.D. only',364838.3125,5024991,cluster3
110,'P.D. only',367526.6875,5030821.5,cluster1
111,'P.D. only',374741.4375,5028922,cluster1
112,'P.D. only',371423.125,5023591.5,cluster3
113,'P.D. only',361749.1563,5023888,cluster3
114,'P.D. only',376369.25,5034756,cluster4
115,'P.D. only',376418.5625,5034871.5,cluster4
116,'P.D. only',364168.625,5014947.5,cluster0
117,'P.D. only',366659.5938,5021283,cluster3
118,'P.D. only',381927.0938,5037447,cluster4
119,Injury,377186.0938,5032175.5,cluster4
120,'P.D. only',380993.7188,5036093,cluster4
121,Injury,364424.0625,5026217.5,cluster3
122,'P.D. only',383961.6563,5036161.5,cluster4
123,'P.D. only',367802.7188,5031963.5,cluster1
124,'P.D. only',366711.5,5012193.5,cluster0
125,'P.D. only',368425.1875,5032735,cluster1
126,'P.D. only',375134.0313,5027315.5,cluster1
127,'P.D. only',368513.6875,5030740.5,cluster1
128,'P.D. only',367769.4688,5031576,cluster1
129,'P.D. only',346472.125,5016866,cluster2
130,'P.D. only',365507.3438,5028452.5,cluster1
131,'P.D. only',368944.7188,5032497,cluster1
132,Injury,362053.9063,5025019.5,cluster3
133,'P.D. only',369775.1875,5016876.5,cluster0
134,'P.D. only',372987.8125,5034433,cluster1
135,'P.D. only',383640.9688,5036900.5,cluster4
136,'P.D. only',367489.4688,5024632,cluster3
137,'P.D. only',361619.8438,5023198.5,cluster3
138,'P.D. only',363132.4688,5024013.5,cluster3
139,'P.D. only',367100.9063,5031151.5,cluster1
140,'P.D. only',365554.75,5027451.5,cluster3
141,'P.D. only',372709.625,5023074,cluster3
142,Injury,372921.4063,5021775.5,cluster3
143,'P.D. only',364889.125,5013226,cluster0
144,'P.D. only',351806.8125,5019066,cluster2
145,Injury,363525.9063,5021571,cluster3
146,Injury,350452.9063,5019011,cluster2
147,'P.D. only',372389.0313,5031745.5,cluster1
148,'P.D. only',354855.5938,5017828.5,cluster2
149,'P.D. only',380458.0938,5034297,cluster4
150,'P.D. only',368324.1563,5027190.5,cluster1
151,'P.D. only',367216.4688,5030047,cluster1
152,'P.D. only',367902.0938,5032408,cluster1
153,Injury,364256,5025121.5,cluster3
154,'P.D. only',350901.8125,5011480,cluster2
155,'P.D. only',366645.8125,5011532,cluster0
